EmpCode,ContractType,EmployeeType,Unit,WorkPlace,DateStart,DateEnd,,,,
A020292,002,201,ALN1121,A2321,2019-05-01,2019-08-07,,,,
A020293,002,201,A1220,A2332,2017-09-07,2017-09-25,,,,
A020294,002,201,A1220,A3037,2017-09-10,2017-11-28,,,,
A020295,002,201,A1110,A3042,2018-05-01,2018-05-20,,,,
A020296,002,201,A1220,A001017,2018-05-01,2018-12-18,,,,
A020297,002,201,A1110,A2321,2018-05-01,2018-08-13,,,,
A020298,002,201,A1220,A001075,2018-05-24,2018-07-11,,,,
A020299,002,201,A1220,A3037,2019-04-23,2019-09-05,,,,
A020300,NULL,,ALN,A001021,2007-06-01,2007-10-14,,,,
A020301,004,301,A2110,A2364,2018-06-11,2018-08-31,,,,
A020302,002,201,A1220,A2432,2019-09-01,2019-11-18,,,,
A020303,002,201,A1350,A001113,2018-06-22,2018-11-13,,,,
A020304,001,101,A1350,10037,2020-01-01,2022-06-08,,,,
A020305,006,401,A1110,A2321,2018-06-23,2018-07-02,,,,
A020306,004,301,A1220,A2221,2019-07-29,2019-08-31,,,,
A020307,004,301,A1220,A2351,2018-07-03,2018-08-29,,,,
A020308,013,201,A1210,10021,2023-05-15,2023-05-29,,,,
A020309,002,201,A1110,A2321,2018-07-23,2018-08-29,,,,
A020310,004,301,A1220,A001017,2018-07-19,2018-08-15,,,,
A020311,004,301,A3230,A001017,2018-08-14,2018-08-15,,,,
A020312,002,201,A3230,A001079,2019-04-23,2019-09-10,,,,
A020313,002,201,A1220,10013,2022-05-20,2022-12-13,,,,
A020314,013,201,A1120,10015,2022-06-15,2022-09-01,,,,
A020320,004,301,A1120,10005,2022-08-10,2022-09-26,,,,
A020400,002,201,A1110,A2321,2017-04-10,2018-02-26,,,,
A020410,,,ALN,A2364,2011-05-03,2011-08-14,,,,
A020420,NULL,,ALN,A001079,2007-03-13,2007-07-15,,,,
A020421,003,101,A0410,10064,2020-01-01,2022-05-31,,,,
A020422,001,101,A0700,10035,2020-01-01,NULL,,,,
A020423,013,201,A1210,10050,2023-04-24,NULL,,,,
A020425,013,201,A1220,10003,2022-06-07,2022-07-18,,,,
A020426,013,201,A0700,10078,2022-06-17,2022-08-30,,,,
A020430,002,201,A1220,A001075,2014-06-28,2014-10-01,,,,
A020450,,,ALN,A2351,2007-05-26,2008-09-18,,,,
A020460,,,ALN,A001075,2011-04-01,2011-06-16,,,,
A020461,002,201,A1110,A2321,2014-06-25,2014-09-17,,,,
A020462,002,201,A2220,A001076,2014-08-16,2014-09-26,,,,
A020500,NULL,,ALN,A2432,2007-06-21,2007-10-05,,,,
A020501,006,401,A1210,10010,2022-07-05,2022-08-31,,,,
A020502,006,401,A1210,10010,2022-07-05,2022-08-30,,,,
A020560,NULL,,ALN,A2613,2007-07-07,2007-09-15,,,,
A020570,001,101,A0700,10016,2023-04-20,NULL,,,,
A020571,NULL,201,A1390,A001063,2012-07-16,2012-09-23,,,,
A020572,,,ALN1320,A2431,2012-04-28,2012-10-20,,,,
A020573,006,401,ALN1320,A001068,2014-06-23,2014-09-15,,,,
A020574,002,101,A0430,A001001,2018-01-01,2018-05-03,,,,
A020575,002,201,A1390,A001063,2015-07-01,2015-08-31,,,,
A020580,,,ALN,A2351,2011-05-06,2011-11-30,,,,
A020590,,,ALN,A001021,2009-05-23,2009-06-20,,,,
A020610,,,ALN,A001025,2008-03-15,2008-04-13,,,,
A020650,NULL,,ALN,A001113,2007-04-07,2007-10-31,,,,
A020651,002,201,A1220,A2351,2019-04-29,2019-09-19,,,,
A020652,002,201,ALN1121,A2321,2019-05-01,2019-06-05,,,,
A020653,002,201,A0700,A001075,2019-05-02,2019-12-20,,,,
A020654,002,201,A1220,A3037,2019-05-23,2019-11-11,,,,
A020656,002,201,A0700,A001063,2019-06-08,2019-12-13,,,,
A020657,004,301,A1210,10021,2022-07-28,2022-08-31,,,,
A020658,004,301,A3230,A2221,2019-07-01,2019-09-16,,,,
A020659,013,201,A2220,10047,2022-06-06,2022-12-05,,,,
A020660,002,201,ALN2110,A001011,2021-10-01,2021-12-15,,,,
A020661,013,201,A1220,10023,2022-07-04,2022-12-09,,,,
A020662,005,801,A1220,10021,2021-03-10,NULL,,,,
A020663,001,101,A1350,10037,2023-04-20,NULL,,,,
A020664,002,201,ALN2110,A2364,2021-06-15,2021-12-03,,,,
A020665,002,201,A1120,A2321,2021-06-23,2021-12-16,,,,
A020666,002,201,A3230,A001079,2021-06-28,2021-12-27,,,,
A020667,004,301,A1120,A2321,2021-07-19,2021-09-27,,,,
A029603,002,201,A1110,A2321,2018-06-11,2018-06-12,,,,
A030150,NULL,,ALN,A001075,2008-07-01,2008-08-31,,,,
A030151,002,201,A1110,A2321,2017-05-10,2017-09-14,,,,
A030152,002,201,A1110,A2321,2017-08-07,2017-08-14,,,,
A030153,002,201,A3230,A001079,2017-08-13,2017-08-31,,,,
A030154,002,201,A1220,A3037,2017-08-22,2017-11-21,,,,
A030155,002,201,A1120,A2321,2019-04-19,2019-05-07,,,,
A030156,013,201,A212002,10015,2022-06-29,2022-11-14,,,,
A030157,013,201,A1210,10021,2022-06-28,2022-11-14,,,,
A030158,013,201,A1220,10023,2022-06-25,2022-11-14,,,,
A030200,002,201,A1110,A2321,2015-04-24,2015-05-05,,,,
A030201,002,201,A1220,A001075,2014-07-05,2014-10-07,,,,
A030202,002,201,A1110,A2321,2018-05-01,2018-07-24,,,,
A030203,002,201,A3230,A001079,2021-07-12,2021-08-23,,,,
A040044,002,201,ALN9310,A3037,2019-05-13,2019-12-03,,,,
A040050,001,101,A1110,A2821,1999-03-01,2014-01-20,,,,
A040051,002,201,A1220,A2332,2016-08-13,2016-10-04,,,,
A040052,004,301,A1220,A2221,2019-07-01,2019-10-25,,,,
A040053,002,201,A3230,A3037,2018-08-03,2018-10-31,,,,
A040054,004,301,A1350,A001118,2022-06-24,2022-09-29,,,,
A040060,002,201,A0700,A2365,2020-07-01,2020-11-20,,,,
A050050,003,101,A1210,A001004,2003-07-01,2016-01-31,,,,
A050051,002,201,A1390,A001042,2013-03-04,2013-12-31,,,,
A050052,002,201,A1220,A001017,2018-05-01,2018-05-19,,,,
A050053,002,201,A1110,A2321,2016-05-22,2016-12-20,,,,
A050054,006,401,A1220,A2351,2018-09-06,2018-10-16,,,,
A050055,006,401,A1110,A2321,2018-07-01,2018-07-31,,,,
A050056,004,,A1220,A2351,2018-06-14,2018-06-30,,,,
A050057,006,401,A1110,A2321,2018-06-23,2018-07-02,,,,
A050058,002,201,ALN2121,A2233,2020-07-06,2020-10-15,,,,
A050059,002,201,A1220,A001075,2021-06-21,2021-12-17,,,,
A060010,NULL,,ALN,A2221,2008-06-01,2008-10-31,,,,
A060011,002,201,A2110,A001063,2015-06-08,2015-09-30,,,,
A060012,003,201,ALNOOOO,A001004,2015-06-13,2016-02-24,,,,
A060013,002,201,A1220,A2351,2015-06-25,2015-11-09,,,,
A060014,002,201,A1110,A2321,2015-09-14,2015-10-12,,,,
A060015,003,101,A1110,A001001,2016-02-22,2017-12-31,,,,
A060016,002,201,A1220,A2332,2016-07-18,2016-10-18,,,,
A060017,002,201,A1220,A2432,2018-09-08,2018-10-26,,,,
A060018,001,101,A1220,A001073,2017-09-09,2017-09-11,,,,
A060019,001,101,A1220,A001004,2018-05-01,2018-06-30,,,,
A060020,002,201,A1220,A3037,2020-07-11,2020-10-12,,,,
A060021,002,201,A1110,A2321,2018-06-01,2018-06-15,,,,
A060022,013,201,A3230,10050,2022-06-25,2022-09-30,,,,
A060023,006,401,A1220,A2613,2018-08-01,2018-08-28,,,,
